unit,frequenc,isced11,sex,age,time\geo 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	TR 
PC,DAY,ED0-2,F,TOTAL,2014	6.2 e	7.5 u	1.3 	2.5 	7.6 	5.0 	0.4 	0.7 	3.0 	7.5 	3.5 	10.0 d	0.6 	0.3 	0.2 	7.0 	3.5 	4.3 	2.0 	0.4 	15.4 	0.9 	4.7 	0.6 	1.4 	1.6 	5.4 	0.2 	0.7 	0.1 
PC,DAY,ED0-2,F,Y15-19,2014	0.0 e	0 u	0 	0 	0 	0.2 	0 	0 	0 	0 	0 	0 d	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 u	0 	0 	0 
PC,DAY,ED0-2,F,Y15-24,2014	0.1 e	0 u	0 	0 	0 	0.4 	0 	0 	0 	0.0 	0 	0 d	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.5 	0 	0 
PC,DAY,ED0-2,F,Y15-29,2014	0.2 e	0.3 u	0 	0 	0 	0.7 	0 	0 	0 	0.1 	0 	0.3 d	0 	0 	0 	0 	0 	0.9 	0 	0 	0.8 	0 	0 	0 	1.1 	0 	0 	0.4 	0 	0.1 
PC,DAY,ED0-2,F,Y15-64,2014	4.1 e	4.7 u	0.7 	2.3 	3.3 	3.0 	0.4 	0.3 	2.2 	5.3 	1.7 	5.4 d	0.5 	0.4 	0.4 	3.5 	1.3 	4.1 	1.2 	0.6 	12.6 	0.7 	1.8 	0.4 	1.9 	0.8 	3.6 	0.2 	0.7 	0.1 
PC,DAY,ED0-2,F,Y18-24,2014	0.1 e	0 u	0 	0 u	0 	0.6 	0 	: u	: u	0.1 	0 u	0 d	: u	0 	0 u	0 u	0 	0 u	0 	0 	0 	0 	0 u	0 u	0 u	0 	0 u	1.0 	0 	0 
PC,DAY,ED0-2,F,Y18-44,2014	2.1 e	1.8 u	0.2 	0.6 	0.9 	1.3 	0.7 	0 	1.6 	2.5 	0 	2.8 d	0 	0 	0.9 	1.7 	0.6 	2.5 	0.2 	1.0 	8.1 	0.3 	0 	0.8 	3.9 u	0.5 	1.5 	0.5 	0.9 	0.1 
PC,DAY,ED0-2,F,Y18-64,2014	4.7 e	5.8 u	0.8 	3.1 	4.7 	4.0 	0.5 	0.4 	2.6 	5.9 	2.1 	6.0 d	0.6 	0.5 	0.7 	4.1 	1.6 	4.4 	1.4 	0.8 	13.9 	0.8 	2.1 	0.6 	2.7 	0.8 	3.7 	0.3 	0.7 	0.1 
PC,DAY,ED0-2,F,Y20-24,2014	0.3 e	0 u	0 u	: u	: u	1.5 	0 u	: u	: u	0.1 	: u	0 d	: u	0 u	: u	: u	0 u	0 u	0 u	0 u	0 	0 	: u	: u	: u	0 u	0 u	2.4 u	0 	0 
PC,DAY,ED0-2,F,Y25-29,2014	1.1 e	3.4 u	0 u	: u	: u	5.2 	0 u	: u	: u	0.4 	: u	1.5 d	: u	: u	: u	: u	0 u	3.1 u	0 u	0 u	3.8 	0 	: u	: u	: u	0 u	0 	0 u	0 u	0.3 
PC,DAY,ED0-2,F,Y25-34,2014	1.5 e	1.4 u	0 	: u	: u	2.2 	0 	0 u	0 	1.5 	: u	1.9 d	0 u	0 u	: u	0 u	0 	4.8 	0 	4.0 	5.2 	0.2 	: u	0 u	: u	0 u	0.8 	0 	0 	0.3 
PC,DAY,ED0-2,F,Y25-64,2014	5.3 e	6.5 u	0.9 	3.8 	7.0 	4.9 	0.7 	0.5 	2.7 	6.4 	2.4 	6.5 d	0.6 	0.7 	1.3 	4.6 	2.1 	4.7 	1.6 	1.1 	14.8 	0.9 	2.2 	0.7 	3.5 	1.1 	4.0 	0 	1.0 	0.1 
PC,DAY,ED0-2,F,Y35-44,2014	3.7 e	4.1 u	0.5 	1.5 u	4.5 u	1.9 	2.4 u	0 	3.0 	4.0 	0 	4.5 d	0 	0 u	3.4 u	3.5 	1.9 	1.6 	0.4 	0.5 	12.5 	0.6 	0 u	2.4 u	: u	1.8 	2.8 	0 u	3.3 	0 
PC,DAY,ED0-2,F,Y45-54,2014	5.4 e	4.0 	2.1 	3.1 u	8.7 u	3.8 	: u	0 	2.7 	6.2 	1.8 	7.0 d	1.1 	: u	: u	2.6 	0.9 	5.5 	1.4 	0.2 	15.3 	0.7 	1.4 	1.2 u	0 u	1.4 	3.1 	0 	1.1 	0 
PC,DAY,ED0-2,F,Y45-64,2014	6.6 e	7.6 u	1.5 	5.1 	9.1 	6.0 	0 	0.7 	3.0 	8.6 	3.2 	7.8 d	0.9 	1.6 	0 u	5.3 	2.6 	5.7 	2.2 	0.7 	17.3 	1.2 	2.8 	0.4 	2.1 	1.2 	5.1 	0 	0.6 	0.0 
PC,DAY,ED0-2,F,Y55-64,2014	7.6 e	10.1 u	1.1 	6.0 	9.3 	7.6 	0 	1.1 	3.2 	10.7 	4.2 	8.6 d	0.8 	0 	0 u	8.0 	3.4 	5.7 	2.9 	0.9 	19.2 	1.5 	3.6 	0 	2.6 	1.1 	6.9 	0 	0 	0.1 
PC,DAY,ED0-2,F,Y65-74,2014	8.8 e	10.6 	1.4 	2.3 	12.8 	4.8 	0 	0.5 	4.9 	11.3 	4.9 	15.5 d	1.1 	0 	0 	16.8 	5.0 	5.7 	1.3 	0 	21.4 	1.5 	6.3 	0 	0.9 	2.7 	7.7 	0 	2.0 	0 
PC,DAY,ED0-2,F,Y_GE18,2014	6.7 e	8.5 u	1.4 	2.9 	9.3 	5.8 	0.4 	0.8 	3.2 	8.0 	4.0 	10.6 d	0.7 	0.3 	0.2 	7.7 	3.9 	4.5 	2.2 	0.5 	16.3 	1.0 	5.1 	0.7 	1.6 	1.7 	5.5 	0.2 	0.8 	0.1 
PC,DAY,ED0-2,F,Y_GE65,2014	9.0 e	11.7 u	2.2 	2.7 	14.4 	7.4 	0.4 	1.3 	3.8 	11.3 	5.7 	16.3 d	0.8 	0.2 	0 	12.2 	6.5 	4.8 	3.3 	0.2 	19.8 	1.3 	8.4 	0.8 	1.0 	2.6 	7.5 	0 	0.9 	0 
PC,DAY,ED0-2,F,Y_GE75,2014	9.3 e	12.8 u	3.0 	3.1 	15.6 	9.3 	0.6 	2.1 	3.0 	11.4 	6.3 	17.1 d	0.6 	0.3 	0 	6.5 	7.4 	3.5 	5.0 	0.4 	18.5 	1.1 	9.7 	1.2 	1.0 	2.5 	7.2 	0 	0 	0 
PC,DAY,ED0-2,M,TOTAL,2014	19.4 e	19.6 u	16.3 	13.2 	13.7 	11.0 	4.1 	3.5 	16.1 	26.9 	15.3 	25.1 d	10.0 	3.4 	1.3 	20.0 	13.8 	14.3 	9.2 	3.6 	46.9 	9.1 	12.9 	5.6 	3.1 	4.0 	10.4 	1.0 	1.3 	1.1 
PC,DAY,ED0-2,M,Y15-19,2014	0.3 e	0 u	0 	0 	1.0 	1.0 	0 	0 	0 	0 	0 	0.2 d	0 	0 	0 	1.6 	0 	2.3 	0.4 	0 	0 	0 	0 	0 	0 	1.2 	0 u	0 	0 	0 
PC,DAY,ED0-2,M,Y15-24,2014	0.9 e	0.6 u	1.7 	3.6 	1.8 	1.3 	0 	0 	0 	0.9 	0 	0.9 d	0.7 	0 	0 	1.3 	0 	2.7 	1.1 	0.8 	1.1 	0.4 	0 	0 	0 	0.9 	0 	0 	0 	0.1 
