,FREQUENCY,SEX,AGE,BELGIUM,BULGARIA,CZECHIA,DENMARK,GERMANY,ESTONIA,IRELAND,GREECE,SPAIN,CROATIA,ITALY,CYPRUS,LATVIA,LITHUANIA,LUXEMBOURG,HUNGARY,MALTA,AUSTRIA,POLAND,PORTUGAL,ROMANIA,SLOVENIA,SLOVAKIA,FINLAND,SWEDEN,UNITED KINGDOM,ICELAND,NORWAY
0,DAY,F,Y15-24,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1,DAY,F,Y25-34,1.4,0.0,0.0,0.0,2.2,0.0,0.0,0.0,1.5,0.0,1.9,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.0,5.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0
2,DAY,F,Y35-44,4.1,0.5,1.5,4.5,1.9,2.4,0.0,3.0,4.0,0.0,4.5,0.0,0.0,3.4,3.5,1.9,1.6,0.4,0.5,12.5,0.6,0.0,2.4,0.0,1.8,2.8,0.0,3.3
3,DAY,F,Y45-54,4.0,2.1,3.1,8.7,3.8,0.0,0.0,2.7,6.2,1.8,7.0,1.1,0.0,0.0,2.6,0.9,5.5,1.4,0.2,15.3,0.7,1.4,1.2,0.0,1.4,3.1,0.0,1.1
4,DAY,F,Y55-64,10.1,1.1,6.0,9.3,7.6,0.0,1.1,3.2,10.7,4.2,8.6,0.8,0.0,0.0,8.0,3.4,5.7,2.9,0.9,19.2,1.5,3.6,0.0,2.6,1.1,6.9,0.0,0.0
5,DAY,F,Y65-74,10.6,1.4,2.3,12.8,4.8,0.0,0.5,4.9,11.3,4.9,15.5,1.1,0.0,0.0,16.8,5.0,5.7,1.3,0.0,21.4,1.5,6.3,0.0,0.9,2.7,7.7,0.0,2.0
6,DAY,F,Y75+,12.8,3.0,3.1,15.6,9.3,0.6,2.1,3.0,11.4,6.3,17.1,0.6,0.3,0.0,6.5,7.4,3.5,5.0,0.4,18.5,1.1,9.7,1.2,1.0,2.5,7.2,0.0,0.0
7,DAY,M,Y15-24,0.6,1.7,3.6,1.8,1.3,0.0,0.0,0.0,0.9,0.0,0.9,0.7,0.0,0.0,1.3,0.0,2.7,1.1,0.8,1.1,0.4,0.0,0.0,0.0,0.9,0.0,0.0,0.0
8,DAY,M,Y25-34,15.9,14.0,0.0,4.0,8.3,4.9,0.0,6.3,9.4,9.7,10.4,2.0,4.1,0.0,21.0,7.2,7.2,1.3,5.4,19.6,12.1,11.1,8.6,0.0,1.8,8.9,2.0,1.2
9,DAY,M,Y35-44,18.8,22.6,24.9,10.5,10.1,7.1,3.4,14.9,17.5,8.7,14.7,2.9,9.3,7.9,25.4,15.3,8.9,3.7,7.5,42.5,13.8,0.0,6.0,0.0,4.6,6.4,2.2,1.7
10,DAY,M,Y45-54,18.2,29.2,0.0,16.0,13.1,2.4,3.2,13.6,33.2,22.4,21.4,13.8,0.0,0.0,20.2,16.7,15.3,2.1,11.1,55.3,15.5,22.9,4.6,4.2,2.2,9.0,2.1,1.6
11,DAY,M,Y55-64,34.1,26.8,29.6,21.7,16.8,7.3,3.2,24.4,43.6,27.1,29.8,19.4,5.0,0.0,27.5,23.8,19.8,19.5,6.9,66.1,12.2,14.9,20.0,5.7,3.7,14.5,0.0,2.8
12,DAY,M,Y65-74,26.8,17.2,38.9,29.2,19.5,7.5,5.2,18.7,44.1,27.9,38.9,12.0,4.9,3.1,31.3,20.1,20.5,20.5,2.2,61.2,12.4,21.4,12.5,2.2,7.8,12.8,0.0,1.7
13,DAY,M,Y75+,22.3,12.7,8.8,28.0,23.4,1.1,9.0,21.2,39.5,19.5,42.4,15.5,2.3,1.4,27.0,40.5,20.0,29.7,1.4,56.8,6.1,25.4,6.5,3.3,6.0,16.3,2.8,3.1
14,DAY,F,Y15-24,0.0,1.3,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.6,0.2,0.0,0.7
